   216.48.178.84   132420  0.0                 (Noida, Uttar Pradesh, IN, AS) e2e-95-84.ssdcloudindia.net                                                                         
   216.48.176.1    132420  4.588                       (Delhi, Delhi, IN, AS) e2e-93-1.ssdcloudindia.net                                                                          
   180.179.210.65  17439   0.44                    (Pitampura, Delhi, IN, AS) 180-179-210-65.static.e2enetworks.in                                                                
   180.179.197.217 17439   0.735                   (Pitampura, Delhi, IN, AS)                                                                                                     
   219.65.44.177   4755    1.52                        (Delhi, Delhi, IN, AS) 219.65.44.177.static-delhi.vsnl.net.in                                                              
   ***             *       -inf                                           *** *                                                                                                   
╭─ 180.87.38.5     6453    23.373                        (Mumbai, MH, IN, AS) ix-ae-0-100.tcore1.mlv-mumbai.as6453.net                                                            
S (6453)  seamewe-4 👍 || asia-africa-europe-1-aae-1 ✓ || imewe 👍 || seamewe-3 👍
╰─ 195.219.174.16  6453    148.017   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) if-be-6-2.ecore1.emrs2-marseille.as6453.net                                                         
   80.231.154.32   6453    145.463             (Paris, Île-de-France, FR, EU) if-bundle-15-2.qcore1.pye-paris.as6453.net                                                          
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   130.117.15.69   174     148.58                        (Paris, IDF, FR, EU) be6453.agr21.par04.atlas.cogentco.com                                                               
   154.54.37.237   174     148.613                       (Paris, IDF, FR, EU) be3169.ccr31.par04.atlas.cogentco.com                                                               
╭─ 154.54.38.65    174     148.952                       (Paris, IDF, FR, EU) be3183.ccr41.par01.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.61.113   174     161.073                       (Bilbao, PV, ES, EU) be2315.ccr31.bio02.atlas.cogentco.com                                                               
   154.54.61.130   174     165.236                        (Madrid, M, ES, EU) be2324.ccr31.mad05.atlas.cogentco.com                                                               
   130.117.0.206   174     165.895                        (Madrid, M, ES, EU) be2470.rcr51.b015537-1.mad05.atlas.cogentco.com                                                     
   149.14.241.18   174     165.398                   (Madrid, Madrid, ES, EU)                                                                                                     
   130.206.216.2   766     165.628                       (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     166.269                       (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     161.911                       (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     161.99                    (Madrid, Madrid, ES, EU)                                                                                                     
