   216.48.178.84   132420  0.0                 (Noida, Uttar Pradesh, IN, AS) e2e-95-84.ssdcloudindia.net                                                                         
   216.48.176.1    132420  4.743                       (Delhi, Delhi, IN, AS) e2e-93-1.ssdcloudindia.net                                                                          
   180.179.210.65  17439   0.708                   (Pitampura, Delhi, IN, AS) 180-179-210-65.static.e2enetworks.in                                                                
   180.179.197.205 17439   1.125                   (Najafgarh, Delhi, IN, AS)                                                                                                     
   14.141.116.105  4755    2.32                        (Delhi, Delhi, IN, AS) 14.141.116.105.static-delhi.vsnl.net.in                                                             
   ***             *       -inf                                           *** *                                                                                                   
╭─ 180.87.38.5     6453    23.637                        (Mumbai, MH, IN, AS) ix-ae-0-100.tcore1.mlv-mumbai.as6453.net                                                            
S (6453)  seamewe-4 👍 || asia-africa-europe-1-aae-1 ✓ || imewe 👍 || seamewe-3 👍
╰─ 195.219.174.16  6453    148.067   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) if-be-6-2.ecore1.emrs2-marseille.as6453.net                                                         
   80.231.154.32   6453    145.152             (Paris, Île-de-France, FR, EU) if-bundle-15-2.qcore1.pye-paris.as6453.net                                                          
   ***             *       -inf                                           *** *                                                                                                   
   80.231.153.49   6453    148.074                      (Paris, None, FR, EU) if-ae-11-2.tcore1.pvu-paris.as6453.net                                                              
   130.117.15.69   174     148.63                        (Paris, IDF, FR, EU) be6453.agr21.par04.atlas.cogentco.com                                                               
   149.6.165.26    43646   224.707        (Le Pre-Saint-Gervais, IDF, FR, EU) *                                                                                                   
   95.81.129.209   52039   159.8                         (None, None, FR, EU) *                                                                                                   
   185.150.253.30  52039   233.958                 (Rennes, Brittany, FR, EU)                                                                                                     
