   154.18.86.7     151420  0.0                         (Tokyo, Tokyo, JP, AS)                                                                                                     
   154.18.86.1     151420  0.153               (Motoyoyogichō, Tokyo, JP, AS)                                                                                                     
   101.203.107.105 *       1.733               (Motoyoyogichō, Tokyo, JP, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
╭─ 221.111.202.110 17676   1.466                       (Tokyo, Tokyo, JP, AS) softbank221111202110.bbtec.net                                                                      
S (17676, 3257)  japan-u-s-cable-network-jus 👍 || tata-tgn-pacific ✓ || pacific-crossing-1-pc-1 ✓ || faster ✓ || jupiter 👍
╰─ 89.149.139.222  3257    119.894                      (Seattle, WA, US, NA) ae19.cr5-sea2.ip4.gtt.net                                                                           
   209.120.139.250 60068   119.224                    (Hollywood, FL, US, NA) ip4.gtt.net                                                                                         
   84.17.33.11     60068   119.712              (Seattle, Washington, US, NA) po77-3529.cr01.sea02.us.misaka.io                                                                   
   170.39.227.9    35487   119.215                      (Seattle, WA, US, NA) po-09.lag.sea02.us.misaka.io                                                                        
   170.39.227.194  917     119.356              (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
