   154.18.86.7     151420  0.0                         (Tokyo, Tokyo, JP, AS)                                                                                                     
   154.18.86.1     151420  0.104               (Motoyoyogichō, Tokyo, JP, AS)                                                                                                     
   101.203.107.105 *       1.66                (Motoyoyogichō, Tokyo, JP, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
╭─ 221.111.202.138 17676   1.966                       (Tokyo, Tokyo, JP, AS) softbank221111202138.bbtec.net                                                                      
S (17676, 58453)  
╰─ 223.118.4.242   58453   1.992                         (None, None, HK, AS) *                                                                                                   
   223.118.4.114   58453   1.959                         (None, None, HK, AS) *                                                                                                   
   223.118.3.129   58453   53.34                         (None, None, HK, AS) *                                                                                                   
   223.118.3.82    58453   50.316                        (None, None, HK, AS) *                                                                                                   
   223.119.0.93    202196  50.496                        (None, None, HK, AS) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   37.10.40.14     202196  53.075              (Hong Kong, Hong Kong, HK, AS)                                                                                                     
