   154.18.86.7     151420  0.0                         (Tokyo, Tokyo, JP, AS)                                                                                                     
   154.18.86.1     151420  0.103               (Motoyoyogichō, Tokyo, JP, AS)                                                                                                     
╭─ 101.203.88.24   *       0.103 (1.049)                  (Tokyo, Tokyo, JP, AS)                                                                                                     
S (, 38195)  australia-japan-cable-ajc ✘
╰─ 103.200.13.198  38195   100.366                       (None, None, AU, OC) bundle-ether34-172.bdr02-ipt-4edenpar-syd.au.superloop.net.co                                       
   103.200.13.69   38195   100.265                      (Sydney, NSW, AU, OC) bundle-ether33.bdr01-ipt-4edenpar-syd.au.superloop.net.co                                           
   203.153.18.99   9336    100.289                      (Sydney, NSW, AU, OC) *                                                                                                   
   202.90.50.69    9336    100.364               (Upper Coomera, QLD, AU, OC) te0-1-6-2.cr-01.gbsw.nsw.spirit.net.au                                                              
   103.126.52.172  138466  100.404                       (None, None, AU, OC) vl450-dp0s18-pauseq4rbdr7.datamossa.io                                                              
   103.126.52.196  138466  100.669                       (None, None, AU, OC) vl129-bo0.pauseq4rbdr2.datamossa.io                                                                 
   103.126.52.180  138466  100.789          (Sydney, New South Wales, AU, OC) as138466.anchors.atlas.ripe.net                                                                     
