   154.18.86.7     151420  0.0                         (Tokyo, Tokyo, JP, AS)                                                                                                     
   154.18.86.1     151420  0.12                (Motoyoyogichō, Tokyo, JP, AS)                                                                                                     
   101.203.107.109 *       1.449               (Motoyoyogichō, Tokyo, JP, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   221.110.131.230 3491    1.481                          (Tokyo, 13, JP, AS) softbank221110131230.bbtec.net                                                                      
   63.222.57.226   3491    1.231                       (Tokyo, Tokyo, JP, AS) 63-222-57-226.static.pccwglobal.net                                                                 
   23.56.142.34    20940   1.266                 (Tokyo / Narita, 12, JP, AS) ae1.r01.tyo03.icn.netarch.akamai.com                                                                
╭─ 23.215.54.192   20940   1.175                 (Tokyo / Narita, 12, JP, AS) ae10.r02.tyo01.icn.netarch.akamai.com                                                               
S (20940)  apcn-2 ✓ || eac-c2c ✓ || asia-pacific-gateway-apg ✓
╰─ 23.215.54.32    20940   72.659              (Singapore, Singapore, SG, AS) ae10.r02.sin01.icn.netarch.akamai.com                                                               
   23.215.54.164   20940   72.219                      (Singapore, 4, SG, AS) ae0.r01.sin01.icn.netarch.akamai.com                                                                
   23.56.138.35    20940   72.14                       (Singapore, 4, SG, AS) ae6.r01.sin01.ien.netarch.akamai.com                                                                
   23.56.138.53    20940   72.732              (Singapore, Singapore, SG, AS) a23-56-138-53.deploy.static.akamaitechnologies.com                                                  
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   139.162.3.33    63949   72.579              (Singapore, Singapore, SG, AS) li845-33.members.linode.com                                                                         
