   103.77.105.3    133800  0.0                     (Jakarta, Jakarta, ID, AS) ip-3-105-77-103.jkt-1.biznetg.io                                                                    
   103.77.105.28   133800  0.332                   (Jakarta, Jakarta, ID, AS) ip-28-105-77-103.jkt-1.biznetg.io                                                                   
   137.59.127.33   *       0.367                   (Jakarta, Jakarta, ID, AS) xe-0-2.cr01.jkt.biznetg.io                                                                          
   202.169.59.21   17451   1.66                    (Jakarta, Jakarta, ID, AS)                                                                                                     
╭─ 182.253.255.18  17451   1.457                   (Jakarta, Jakarta, ID, AS)                                                                                                     
S&T (17451)  australia-singapore-cable-asc ✓ || matrix-cable-system ✘ || b2js-jakarta-bangka-batam-singapore-cable-system ✘ || indonesia-global-gateway-igg-system ✓ || seamewe-3 ✓ || indigo-west ✓ || jakarta-bangka-bintan-batam-singapore-b3js ✘ || jasuka ✓ || jakabare ✓
╰─ 182.253.100.186 17451   12.687              (Singapore, Singapore, SG, AS) gs2-6.biznetnetworks.com                                                                            
   184.104.199.150 6939    13.494              (Singapore, Singapore, SG, AS) port-channel1.core1.sin2.he.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   103.16.102.249  *       13.886              (Singapore, Singapore, SG, AS) akamai-linode.sgix.sg                                                                               
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   139.162.3.33    63949   13.705              (Singapore, Singapore, SG, AS) li845-33.members.linode.com                                                                         
