   216.48.178.84   132420  0.0                 (Noida, Uttar Pradesh, IN, AS) e2e-95-84.ssdcloudindia.net                                                                         
   216.48.176.1    132420  2.221                       (Delhi, Delhi, IN, AS) e2e-93-1.ssdcloudindia.net                                                                          
   180.179.210.65  17439   0.533                   (Pitampura, Delhi, IN, AS) 180-179-210-65.static.e2enetworks.in                                                                
   180.179.197.205 17439   0.725                   (Najafgarh, Delhi, IN, AS)                                                                                                     
   14.141.116.105  4755    1.599                       (Delhi, Delhi, IN, AS) 14.141.116.105.static-delhi.vsnl.net.in                                                             
   ***             *       -inf                                           *** *                                                                                                   
╭─ 180.87.36.9     6453    36.955                       (Chennai, TN, IN, AS) ix-ae-4-2.tcore1.cxr-chennai.as6453.net                                                             
S&T (6453)  tata-tgn-tata-indicom 👍 || i2i-cable-network-i2icn © || seamewe-4 👍
╰─ 180.87.36.41    6453    70.269                   (Singapore, None, SG, AS) if-be-34-2.ecore2.esin4-singapore.as6453.net                                                        
   180.87.108.3    6453    68.181                   (Singapore, None, SG, AS) if-be-49-2.ecore1.esin4-singapore.as6453.net                                                        
   180.87.107.224  6453    71.779              (Singapore, Singapore, SG, AS) if-bundle-33-2.qcore1.esin4-singapore.as6453.net                                                    
   162.158.161.62  13335   68.429              (Singapore, Singapore, SG, AS)                                                                                                     
   162.158.161.139 13335   68.416              (Singapore, Singapore, SG, AS)                                                                                                     
   162.158.161.33  13335   68.448              (Singapore, Singapore, SG, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   103.156.251.7   141235  147.431             (Singapore, Singapore, SG, AS)                                                                                                     
