   216.48.178.84   132420  0.0                 (Noida, Uttar Pradesh, IN, AS) e2e-95-84.ssdcloudindia.net                                                                         
   216.48.176.1    132420  2.441                       (Delhi, Delhi, IN, AS) e2e-93-1.ssdcloudindia.net                                                                          
   180.179.210.65  17439   0.922                   (Pitampura, Delhi, IN, AS) 180-179-210-65.static.e2enetworks.in                                                                
   180.179.197.209 17439   0.962                       (Delhi, Delhi, IN, AS)                                                                                                     
   14.141.116.105  4755    1.93                        (Delhi, Delhi, IN, AS) 14.141.116.105.static-delhi.vsnl.net.in                                                             
   ***             *       -inf                                           *** *                                                                                                   
╭─ 180.87.38.5     6453    23.945                        (Mumbai, MH, IN, AS) ix-ae-0-100.tcore1.mlv-mumbai.as6453.net                                                            
S (6453)  imewe 👍 || asia-africa-europe-1-aae-1 ✓ || seamewe-4 👍 || seamewe-3 👍
╰─ 195.219.174.16  6453    148.812   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) if-be-6-2.ecore1.emrs2-marseille.as6453.net                                                         
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   130.117.15.69   174     148.678                       (Paris, IDF, FR, EU) be6453.agr21.par04.atlas.cogentco.com                                                               
   154.54.61.33    174     144.619                       (Paris, IDF, FR, EU) be2151.ccr32.par04.atlas.cogentco.com                                                               
   154.54.61.17    174     148.991                       (Paris, IDF, FR, EU) be2102.ccr41.par01.atlas.cogentco.com                                                               
   154.54.72.110   174     159.633                   (Marseille, PAC, FR, EU) be2779.ccr31.mrs02.atlas.cogentco.com                                                               
   130.117.48.165  174     156.966   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) be3927.rcr61.b062108-0.mrs02.atlas.cogentco.com                                                     
   149.14.127.98   174     155.454   (Septèmes-les-Vallons, Provence-Alpes-Côte d'Azur, FR, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   185.233.32.213  211997  160.011   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) 185-233-32-213.eho.link                                                                             
