   216.48.178.84   132420  0.0                 (Noida, Uttar Pradesh, IN, AS) e2e-95-84.ssdcloudindia.net                                                                         
   216.48.176.1    132420  3.071                       (Delhi, Delhi, IN, AS) e2e-93-1.ssdcloudindia.net                                                                          
   180.179.210.65  17439   0.454                   (Pitampura, Delhi, IN, AS) 180-179-210-65.static.e2enetworks.in                                                                
   180.179.197.205 17439   0.62                    (Najafgarh, Delhi, IN, AS)                                                                                                     
   14.141.116.105  4755    1.42                        (Delhi, Delhi, IN, AS) 14.141.116.105.static-delhi.vsnl.net.in                                                             
   ***             *       -inf                                           *** *                                                                                                   
╭─ 180.87.38.5     6453    23.724                        (Mumbai, MH, IN, AS) ix-ae-0-100.tcore1.mlv-mumbai.as6453.net                                                            
S (6453)  imewe 👍 || asia-africa-europe-1-aae-1 ✓ || seamewe-4 👍 || seamewe-3 👍
╰─ 195.219.174.16  6453    148.91    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) if-be-6-2.ecore1.emrs2-marseille.as6453.net                                                         
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   130.117.15.69   174     148.297                       (Paris, IDF, FR, EU) be6453.agr21.par04.atlas.cogentco.com                                                               
   154.54.61.33    174     144.034                       (Paris, IDF, FR, EU) be2151.ccr32.par04.atlas.cogentco.com                                                               
   154.54.61.17    174     148.748                       (Paris, IDF, FR, EU) be2102.ccr41.par01.atlas.cogentco.com                                                               
   154.54.72.110   174     159.185                   (Marseille, PAC, FR, EU) be2779.ccr31.mrs02.atlas.cogentco.com                                                               
╭─ 154.54.56.65    174     167.616           (Bordeaux/Merignac, NAQ, FR, EU) be2840.rcr21.bod01.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.57.93    174     173.817                      (Rome, Lazio, IT, EU) be2749.rcr51.rom01.atlas.cogentco.com                                                               
   149.6.23.43     174     173.466                      (Rome, Lazio, IT, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    179.241               (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    172.664                         (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    178.258                         (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.142    5602    176.229                         (Rome, 62, IT, EU) cs2-xe-1-1-0-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    172.718                  (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
