   216.48.178.84   132420  0.0                 (Noida, Uttar Pradesh, IN, AS) e2e-95-84.ssdcloudindia.net                                                                         
   216.48.176.1    132420  9.087                       (Delhi, Delhi, IN, AS) e2e-93-1.ssdcloudindia.net                                                                          
   180.179.210.65  17439   0.444                   (Pitampura, Delhi, IN, AS) 180-179-210-65.static.e2enetworks.in                                                                
   180.179.197.209 17439   0.748                       (Delhi, Delhi, IN, AS)                                                                                                     
   14.141.116.105  4755    1.628                       (Delhi, Delhi, IN, AS) 14.141.116.105.static-delhi.vsnl.net.in                                                             
   ***             *       -inf                                           *** *                                                                                                   
   14.141.111.198  6453    41.735                       (Kolkata, WB, IN, AS) 14.141.111.198.static-kolkata.vsnl.net.in                                                           
╭─ 115.108.48.165  6453    48.393              (Kolkata, West Bengal, IN, AS) 115.108.48.165.static-mumbai.vsnl.net.in                                                            
S (6453, 132884)  
╰─ 103.26.244.5    132884  44.532                        (None, None, BD, AS) be-ag1-100-r1-100.summitgw.net                                                                      
   103.26.244.19   132884  44.304            (Paltan, Dhaka Division, BD, AS) 103.26.244.19.summitgw.net                                                                          
   103.26.244.2    58717   48.771                        (None, None, BD, AS) *                                                                                                   
   157.119.185.36  58717   48.519            (Paltan, Dhaka Division, BD, AS) 157.119.185.36.summitiig.net                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   103.15.246.16   58717   44.974                      (Dhaka, Dhaka, BD, AS)                                                                                                     
