   216.48.178.84   132420  0.0                 (Noida, Uttar Pradesh, IN, AS) e2e-95-84.ssdcloudindia.net                                                                         
   216.48.176.1    132420  3.753                       (Delhi, Delhi, IN, AS) e2e-93-1.ssdcloudindia.net                                                                          
   180.179.210.65  17439   0.518                   (Pitampura, Delhi, IN, AS) 180-179-210-65.static.e2enetworks.in                                                                
   180.179.197.209 17439   1.003                       (Delhi, Delhi, IN, AS)                                                                                                     
   14.141.116.105  4755    1.396                       (Delhi, Delhi, IN, AS) 14.141.116.105.static-delhi.vsnl.net.in                                                             
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   180.87.36.6     6453    68.716                       (Chennai, TN, IN, AS) if-ae-3-3.tcore2.cxr-chennai.as6453.net                                                             
╭─ 180.87.37.114   6453    73.073               (Chennai, Tamil Nadu, IN, AS) if-bundle-22-2.qcore2.cxr-chennai.as6453.net                                                        
S&T (6453)  
╰─ 180.87.15.208   6453    71.243              (Singapore, Singapore, SG, AS) if-ae-18-2.tcore2.svw-singapore.as6453.net                                                          
   ***             *       -inf                                           *** *                                                                                                   
   63.243.180.65   6453    72.389              (Singapore, Singapore, SG, AS) if-bundle-19-2.qcore1.esin4-singapore.as6453.net                                                    
   202.70.133.25   140443  195.737             (Singapore, Singapore, SG, AS) 25.133.70.202.in-addr.herza.id                                                                      
