   103.77.105.3    133800  0.0                     (Jakarta, Jakarta, ID, AS) ip-3-105-77-103.jkt-1.biznetg.io                                                                    
   ***             *       -inf                                           *** *                                                                                                   
   137.59.127.13   *       0.299                   (Jakarta, Jakarta, ID, AS) xe-0-0.cr02.jkt.biznetg.io                                                                          
   137.59.127.229  *       1.344                   (Jakarta, Jakarta, ID, AS) xe-0-0-19.cr02.wjv.biznetg.io                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   218.100.36.106  *       1.101                   (Jakarta, Jakarta, ID, AS)                                                                                                     
   119.2.55.101    55666   10.74                   (Jakarta, Jakarta, ID, AS) ipv4-101-55-2.as55666.net                                                                           
   119.2.55.99     55666   11.067                  (Jakarta, Jakarta, ID, AS) ipv4-99-55-2.as55666.net                                                                            
   49.128.180.70   55666   11.101            (Semarang, Central Java, ID, AS) ipv4-70-180-128.gmedia.net.id                                                                       
   103.170.24.250  142360  11.123                  (Jakarta, Jakarta, ID, AS) ipv4-250-24-170-103.nexa.net.id                                                                     
   103.170.25.13   142360  11.35             (Semarang, Central Java, ID, AS) ipv4-13-25-170-103.nexa.net.id                                                                      
